tab	render_function	line	field_path	expected_type	expected_non_empty	current_producer_skill	current_producer_line	validator_check	status	fix_layer	fix_note
industries	_renderIndContent	4469	goodsIndustries	array<object>	yes	tldr-writer-goods	340	top_level.goodsIndustries:L158,count.goodsIndustries:L175	ok	none	no action — field present and validated
industries	_renderIndContent	4469	servicesIndustries	array<object>	yes	tldr-writer-services	-	top_level.servicesIndustries:L158,count.servicesIndustries:L175	ok	none	no action — field present and validated
industries	_renderIndContent	4478	goodsIndustries[i].name	string	yes	tldr-writer-goods	-	MISSING	validator-missing	schema	add industry hero field check to validator
industries	_renderIndContent	4478	goodsIndustries[i].code	string	yes	tldr-writer-goods	-	MISSING	validator-missing	schema	add industry hero field check to validator
industries	_renderIndContent	4479	goodsIndustries[i].mm	string	yes	tldr-writer-goods	303	MISSING	validator-missing	schema	add industry hero field check to validator
industries	_renderIndContent	4480	goodsIndustries[i].yy	string	yes	tldr-writer-goods	304	MISSING	validator-missing	schema	add industry hero field check to validator
industries	_renderIndContent	4481	goodsIndustries[i].isNegative	boolean	yes	tldr-writer-goods	311	MISSING	validator-missing	schema	add industry hero field check to validator
industries	_renderIndContent	4581	goodsIndustries[i].analysis	string	yes	tldr-writer-goods	305	industry.goods.{name}.analysis:L322	ok	none	no action — field present and validated
industries	_renderIndContent	4487	goodsIndustries[i].industrySources	array<object>	yes	tldr-writer-goods	306	MISSING	validator-missing	schema	add industry hero field check to validator
industries	_renderIndContent	4486	goodsIndustries[i].subsectors	array<object>	no	tldr-writer-goods	312	MISSING	frontend-fallback-only	skill	promote subsectors to required in tldr-writer-goods
industries	_renderIndContent	4550	goodsIndustries[i].subsectors[j].name	string	yes	tldr-writer-goods	313	MISSING	frontend-fallback-only	skill	promote subsectors to required in tldr-writer-goods
industries	_renderIndContent	4550	goodsIndustries[i].subsectors[j].code	string	yes	tldr-writer-goods	313	MISSING	frontend-fallback-only	skill	promote subsectors to required in tldr-writer-goods
industries	_renderIndContent	4551	goodsIndustries[i].subsectors[j].mm	string	no	tldr-writer-goods	313	MISSING	frontend-fallback-only	skill	promote subsectors to required in tldr-writer-goods
industries	_renderIndContent	4671	goodsIndustries[i].insightCharts	array<object>	yes	tldr-charts	117	industry.goods.{name}.insightCharts:L317	ok	none	no action — field present and validated
industries	_renderIndContent	4671	goodsIndustries[i].insightCharts[0].callout	string	yes	tldr-charts	127	callout.industry.goods.{name}.insightCharts[0]:L351	ok	none	no action — field present and validated
industries	_renderIndContent	4671	goodsIndustries[i].insightCharts[0].dataKeys	array<string>	yes	tldr-charts	120	MISSING	validator-missing	schema	add insightCharts sub-schema check to validator
industries	_renderIndContent	4671	goodsIndustries[i].insightCharts[0].dataSource	string	yes	tldr-charts	121	MISSING	validator-missing	schema	add insightCharts sub-schema check to validator
industries	_renderIndContent	4671	goodsIndustries[i].insightCharts[0].chartType	string	yes	tldr-charts	119	MISSING	validator-missing	schema	add insightCharts sub-schema check to validator
industries	_renderIndContent	4671	goodsIndustries[i].insightCharts[0].title	string	yes	tldr-charts	123	MISSING	validator-missing	schema	add insightCharts sub-schema check to validator
industries	_renderIndContent	4671	goodsIndustries[i].insightCharts[0].subtitle	string	yes	tldr-charts	124	MISSING	validator-missing	schema	add insightCharts sub-schema check to validator
industries	_renderIndContent	4671	goodsIndustries[i].insightCharts[0].window	string	no	tldr-charts	534	MISSING	frontend-fallback-only	defer	optional chart enrichment; keep fallback
industries	_renderIndContent	4500	projects_all.json:[i].naics_code	string	no	PIPELINE	-	MISSING	frontend-fallback-only	pipeline	deploy exporter freshness + schema x-check
industries	_renderIndContent	4696	goodsIndustries[i].gdp	string	no	tldr-writer-goods	-	MISSING	frontend-fallback-only	defer	pipeline-enriched optional; keep fallback
industries	_renderIndContent	4698	goodsIndustries[i].projectCount	number	no	tldr-writer-goods	-	MISSING	frontend-fallback-only	defer	pipeline-enriched optional; keep fallback
industries	_renderIndContent	4699	goodsIndustries[i].pipelineValue	string	no	tldr-writer-goods	-	MISSING	frontend-fallback-only	defer	pipeline-enriched optional; keep fallback
industries	_renderIndContent	4724	goodsIndustries[i].statusChanges	number	no	UNKNOWN	-	MISSING	frontend-fallback-only	defer	pipeline-enriched optional; keep fallback
industries	_renderIndContent	4724	goodsIndustries[i].newThisWeek	number	no	UNKNOWN	-	MISSING	frontend-fallback-only	defer	pipeline-enriched optional; keep fallback
industries	_renderIndContent	4701	goodsIndustries[i].indicatorSrc	string	no	tldr-writer-goods	-	MISSING	frontend-fallback-only	defer	pipeline-enriched optional; keep fallback
industries	_renderIndContent	4469	servicesIndustries[i].name	string	yes	tldr-writer-services	-	MISSING	validator-missing	schema	add industry hero field check to validator
industries	_renderIndContent	4469	servicesIndustries[i].code	string	yes	tldr-writer-services	-	MISSING	validator-missing	schema	add industry hero field check to validator
industries	_renderIndContent	4479	servicesIndustries[i].mm	string	yes	tldr-writer-services	-	MISSING	validator-missing	schema	add industry hero field check to validator
industries	_renderIndContent	4480	servicesIndustries[i].yy	string	yes	tldr-writer-services	-	MISSING	validator-missing	schema	add industry hero field check to validator
industries	_renderIndContent	4581	servicesIndustries[i].analysis	string	yes	tldr-writer-services	-	industry.services.{name}.analysis:L322	ok	none	no action — field present and validated
industries	_renderIndContent	4671	servicesIndustries[i].insightCharts	array<object>	yes	tldr-charts	117	industry.services.{name}.insightCharts:L317	ok	none	no action — field present and validated
industries	_renderIndContent	4671	servicesIndustries[i].insightCharts[0].callout	string	yes	tldr-charts	127	callout.industry.services.{name}.insightCharts[0]:L351	ok	none	no action — field present and validated
markets	renderMarkets	4971	financialMarkets	object	yes	tldr-writer-markets-triad	161	top_level.financialMarkets:L158	ok	none	no action — field present and validated
markets	_buildMktCommentary	4992	marketCommentary	string	yes	tldr-writer-market-commentary	195	top_level_alias.marketCommentary:L368	ok	none	no action — field present and validated
markets	_buildMktCommentary	4992	financialMarkets.summary	string	no	tldr-writer-markets-triad	-	MISSING	frontend-fallback-only	defer	optional market narrative; keep fallback
markets	_buildMktCommentary	4997	financialMarkets.callout	object	no	tldr-writer-market-commentary	196	MISSING	validator-missing	schema	add financialMarkets.callout object check
markets	_buildMktCommentary	4997	marketCommentaryCallout	object	no	tldr-writer-market-commentary	196	MISSING	frontend-fallback-only	defer	optional market narrative; keep fallback
markets	_buildMktCommentary	5000	financialMarkets.callout.title	string	no	tldr-writer-market-commentary	197	MISSING	frontend-fallback-only	defer	optional callout sub-field; keep fallback
markets	_buildMktCommentary	5002	financialMarkets.callout.items	array<object>	no	tldr-writer-market-commentary	198	MISSING	frontend-fallback-only	defer	optional callout sub-field; keep fallback
markets	_buildMktEquities	5016	financialMarkets.indices	array<object>	yes	tldr-writer-markets-triad	161	equities.count:L230	ok	none	no action — field present and validated
markets	_buildMktEquities	5029	financialMarkets.indices[i].name	string	yes	tldr-writer-markets-triad	176	equity.{name}.name:L237	ok	none	no action — field present and validated
markets	_buildMktEquities	5031	financialMarkets.indices[i].value	string	yes	tldr-writer-markets-triad	-	equity.{name}.value:L237	ok	none	no action — field present and validated
markets	_buildMktEquities	5033	financialMarkets.indices[i].change	string	no	tldr-writer-markets-triad	-	MISSING	frontend-fallback-only	defer	optional index field; keep fallback
markets	_buildMktEquities	5034	financialMarkets.indices[i].mm	string	no	tldr-writer-markets-triad	176	equity.{name}.mm:L237	ok	none	no action — field present and validated
markets	_buildMktEquities	5035	financialMarkets.indices[i].yy	string	no	tldr-writer-markets-triad	176	equity.{name}.yy:L237	ok	none	no action — field present and validated
markets	_buildMktEquities	5046	financialMarkets.indices[i].commentary	string	no	tldr-writer-markets-triad	176	MISSING	frontend-fallback-only	defer	optional index field; keep fallback
markets	_buildMktFx	5055	financialMarkets.fx	array<object>	yes	tldr-writer-markets-triad	206	MISSING	validator-missing	schema	add fx array count+type check to validator
markets	_buildMktFx	5070	financialMarkets.fx[i].name	string	yes	tldr-writer-markets-triad	206	fx.{name}.name:L252	ok	none	no action — field present and validated
markets	_buildMktFx	5071	financialMarkets.fx[i].value	string	yes	tldr-writer-markets-triad	206	fx.{name}.value:L252	ok	none	no action — field present and validated
markets	_buildMktFx	5073	financialMarkets.fx[i].mm	string	no	tldr-writer-markets-triad	206	fx.{name}.mm:L252	ok	none	no action — field present and validated
markets	_buildMktFx	5074	financialMarkets.fx[i].yy	string	no	tldr-writer-markets-triad	206	fx.{name}.yy:L252	ok	none	no action — field present and validated
markets	_buildMktFx	5078	financialMarkets.bocRate	string	no	tldr-analyst-macro	193	MISSING	frontend-fallback-only	defer	aliased by top-level bocRate; keep fallback
markets	_buildMktFx	5078	bocRate	string	yes	tldr-analyst-macro	193	top_level_alias.bocRate:L368	ok	none	no action — field present and validated
markets	_buildMktYields	5095	yieldCurve	array<object>	yes	tldr-writer-markets-triad	224	top_level.yieldCurve:L158,yieldCurve.is_list:L194	ok	none	no action — field present and validated
markets	_buildMktYields	5103	yieldCurve[i].term	string	yes	tldr-writer-markets-triad	224	yieldCurve[0].term:L199	ok	none	no action — field present and validated
markets	_buildMktYields	5105	yieldCurve[i].yield	string	yes	tldr-writer-markets-triad	224	yieldCurve[0].yield:L199	ok	none	no action — field present and validated
markets	_buildMktYields	5109	yieldCurve[i].prevYield	string	no	tldr-writer-markets-triad	224	yieldCurve[0].prevYield:L199	ok	none	no action — field present and validated
markets	_buildMktYields	5121	yieldCurveLastYear	array<number>	no	tldr-analyst-macro	500	yieldCurveLastYear:L203	frontend-fallback-only	defer	optional chart overlay; keep fallback
markets	_buildMktYields	5123	financialMarkets.yieldNarrative	string	no	tldr-writer-markets-triad	238	MISSING	frontend-fallback-only	defer	optional market narrative; keep fallback
markets	_buildMktCommodities	5129	commodities	array<object>	yes	tldr-writer-markets-triad	304	top_level.commodities:L158,count.commodities:L182	ok	none	no action — field present and validated
markets	_buildMktCommodities	5135	commodities[i].name	string	yes	tldr-writer-markets-triad	304	commodity.{name}.name:L213	ok	none	no action — field present and validated
markets	_buildMktCommodities	5135	commodities[i].val	string	yes	tldr-writer-markets-triad	52	commodity.{name}.val:L213	ok	none	no action — field present and validated
markets	_buildMktCommodities	5135	commodities[i].day	string	no	tldr-writer-markets-triad	52	commodity.{name}.day:L213	ok	none	no action — field present and validated
markets	_buildMktCommodities	5135	commodities[i].mm	string	no	tldr-writer-markets-triad	52	commodity.{name}.mm:L213	ok	none	no action — field present and validated
markets	_buildMktCommodities	5135	commodities[i].yy	string	no	tldr-writer-markets-triad	52	commodity.{name}.yy:L213	ok	none	no action — field present and validated
markets	_buildMktCommodities	5135	commodities[i].unit	string	no	tldr-writer-markets-triad	52	commodity.{name}.unit:L213	ok	none	no action — field present and validated
markets	_buildMktCommodities	5135	commodities[i].category	string	no	tldr-writer-markets-triad	52	commodity.{name}.category:L213	ok	none	no action — field present and validated
markets	_buildMktCommodities	5135	commodities[i].context	string	no	tldr-writer-markets-triad	52	commodity.{name}.context:L213	ok	none	no action — field present and validated
markets	_buildMktCommodities	5148	commodityCommentary	string	no	tldr-writer-markets-triad	303	MISSING	validator-missing	schema	add commodity commentary length check
markets	_buildMktCommodities	5148	commodity_commentary	string	no	tldr-writer-markets-triad	303	MISSING	validator-missing	schema	add commodity commentary length check
markets	_buildMktCommodities	5148	financialMarkets.commodityNarrative	string	no	tldr-writer-markets-triad	-	MISSING	frontend-fallback-only	defer	optional market narrative; keep fallback
markets	_buildMktCommodities	5151	wcs_analysis	object	no	tldr-writer-markets-triad	313	MISSING	validator-missing	schema	add wcs_analysis object presence check
markets	_buildMktCommodities	5156	wcs_analysis.narrative	string	no	tldr-writer-markets-triad	-	MISSING	frontend-fallback-only	defer	optional when wcs_analysis absent; keep fallback
markets	_buildMktCommodities	5156	wcs_analysis.current_discount	string	no	tldr-writer-markets-triad	-	MISSING	frontend-fallback-only	defer	optional when wcs_analysis absent; keep fallback
markets	_buildMktCommodities	5157	wcs_analysis.prior_discount	string	no	tldr-writer-markets-triad	-	MISSING	frontend-fallback-only	defer	optional when wcs_analysis absent; keep fallback
markets	_buildMktCommodities	5158	wcs_analysis.direction	string	no	tldr-writer-markets-triad	-	MISSING	frontend-fallback-only	defer	optional when wcs_analysis absent; keep fallback
markets	_buildMktCommodities	5159	wcs_analysis.estimated_wcs_price	string	no	tldr-writer-markets-triad	-	MISSING	frontend-fallback-only	defer	optional when wcs_analysis absent; keep fallback
markets	_buildMktCommodities	5152	wcsAnalysis	string	no	tldr-writer-markets-triad	-	MISSING	dead-field	skill	stop emitting — wcs_analysis object supersedes
shared	_tldrBuildBriefing	648	sources	array<object>	yes	tldr-assembler	274	top_level.sources:L158,count.sources:L186	ok	none	no action — field present and validated
shared	_tldrBuildBriefing	699	sources[i].url	string	yes	tldr-assembler	274	MISSING	validator-missing	schema	add per-source URL required check to validator
shared	_tldrBuildBriefing	700	sources[i].title	string	no	tldr-assembler	274	MISSING	frontend-fallback-only	defer	optional source metadata; keep fallback
shared	_tldrBuildBriefing	699	sources[i].archive_url	string	no	tldr-assembler	-	MISSING	frontend-fallback-only	defer	optional source metadata; keep fallback
shared	_tldrBuildProjects	1076	week_of	string	yes	tldr-analyst-macro	-	top_level.week_of:L158	ok	none	no action — field present and validated
shared	renderTLDR	385	week_of	string	yes	tldr-analyst-macro	-	top_level.week_of:L158	ok	none	no action — field present and validated
shared	renderTLDR	-	edition	string	yes	tldr-analyst-macro	-	top_level.edition:L158	ok	none	no action — field present and validated
shared	renderTLDR	-	id	number	yes	tldr-assembler	-	top_level.id:L158	ok	none	no action — field present and validated
shared	renderTLDR	-	generated_at	string	no	tldr-assembler	-	MISSING	frontend-fallback-only	defer	optional timestamp; keep fallback
shared	renderTLDR	-	updated_at	string	no	tldr-assembler	-	MISSING	frontend-fallback-only	defer	optional timestamp; keep fallback
shared	_tldrBuildWeeklyDataTable	616	discovery_stats	object	yes	PIPELINE	-	MISSING	validator-missing	pipeline	pipeline emits; add validator count+type check
shared	_tldrBuildProjects	1073	project_count	number	yes	tldr-assembler	-	top_level_alias.project_count:L368	ok	none	no action — field present and validated
shared	_tldrBuildProjects	1072	new_projects	number	no	tldr-assembler	-	MISSING	validator-missing	schema	add new_projects number check to validator
shared	_tldrBuildProjects	664	pipeline_value	string	yes	tldr-assembler	-	top_level_alias.pipeline_value:L368	ok	none	no action — field present and validated
shared	renderTLDR	-	unsplash_image_url	string	no	PIPELINE	-	MISSING	dead-field	defer	dead-field — needs user review before removing
shared	renderTLDR	-	infographic_directives	array<object>	no	tldr-analyst-macro	513	MISSING	dead-field	defer	dead-field — needs user review before removing
shared	renderTLDR	-	_all_verified_sources	array	no	tldr-assembler	-	MISSING	dead-field	defer	dead-field — needs user review before removing
shared	renderTLDR	-	citation_audit	object	no	tldr-assembler	-	MISSING	dead-field	defer	dead-field — needs user review before removing
shared	renderTLDRWordCloud	1487	word_cloud_topics	array<object>	no	tldr-analyst-macro	417	MISSING	frontend-fallback-only	defer	intentional optional — keep as graceful fallback
shared	renderTLDR	-	consumer_pulse	string	no	tldr-writer-macro	428	top_level.consumer_pulse:L158	frontend-fallback-only	defer	intentional optional — keep as graceful fallback
shared	renderTLDR	-	watchlist	array<object>	no	tldr-writer-macro	471	top_level.watchlist:L158	frontend-fallback-only	defer	intentional optional — keep as graceful fallback
shared	_renderNatPolicySection	2610	policy.json	object	yes	PIPELINE	-	MISSING	validator-missing	pipeline	policy_tracker freshness + schema x-check
shared	_renderCanadaSubtab	2556	projects_all.json	array<object>	yes	PIPELINE	-	MISSING	validator-missing	pipeline	deploy exporter freshness + schema x-check
shared	_tldrRenderCalloutCharts	742	timeseries.json	object	yes	PIPELINE	-	MISSING	validator-missing	pipeline	timeseries build freshness + schema x-check
shared	loadIndicators	225	indicators.json	object	yes	PIPELINE	-	MISSING	validator-missing	pipeline	indicators build freshness + schema x-check
shared	_renderNatEnrichmentCards	2637	commodities.json	object	yes	PIPELINE	-	MISSING	frontend-fallback-only	pipeline	commodities build freshness + schema x-check
shared	_renderNatEnrichmentCards	2689	jobs.json	object	no	PIPELINE	-	MISSING	frontend-fallback-only	pipeline	job_monitor output freshness check
shared	_renderNatEnrichmentCards	2697	procurement.json	object	no	PIPELINE	-	MISSING	frontend-fallback-only	pipeline	procurement_monitor freshness check
